rho,radius_R,resid_norm,amplification_c,mean_shift,mean_shift_band,frac_lowered,frac_lowered_band,feasible_area_nom,feasible_area_rob,lp_obj_nom,lp_obj_rob,gt_at_opt_nom,gt_at_opt_rob,gt_rhs,violates_nom,violates_rob,train_rmse_nom,train_rmse_rob
0.0,0.0,7.713689756563519,0.0,0.0,,0.0,,1.0,1.0,-2.0,-2.0,2.5,2.5,1.0,True,True,0.5454402334835273,0.5454402334835273
0.05,0.3863021258313374,7.713689756563519,0.05008007037133376,1.8851681090219782e-05,,0.0,,1.0,1.0,-2.0,-2.0,2.5,2.5,1.0,True,True,0.5454402334835273,0.5454401443549565
0.1,0.7726042516626748,7.713689756563519,0.10016014074266752,-0.00020050877797924888,,1.0,,1.0,1.0,-2.0,-2.0,2.5,2.5,1.0,True,True,0.5454402334835273,0.5454402400063644
0.2,1.5452085033253495,7.713689756563519,0.20032028148533504,3.908234714739395e-06,,0.0,,1.0,1.0,-2.0,-2.0,2.5,2.5,1.0,True,True,0.5454402334835273,0.5454401668067087
0.3,2.3178127549880236,7.713689756563519,0.3004804222280025,-5.7679708527558216e-08,,0.5,,1.0,1.0,-2.0,-2.0,2.5,2.5,1.0,True,True,0.5454402334835273,0.5453776129241196
0.5,3.8630212583133736,7.713689756563519,0.5008007037133375,0.001772710560777719,,0.4886125,,1.0,1.0,-2.0,-2.0,2.5,2.5,1.0,True,True,0.5454402334835273,0.4831614898540786
0.75,5.79453188747006,7.713689756563519,0.7512010555700063,0.004050702634399732,,0.48844375,,1.0,0.92320625,-2.0,-1.6115288220551378,2.5,1.6797319112317135,1.0,True,True,0.5454402334835273,0.40533578368477313
1.0,7.726042516626747,7.713689756563519,1.001601407426675,0.006110679581264185,,0.488475,,1.0,0.819875,-2.0,-1.4060150375939848,2.5,1.3678557295494373,1.0,True,True,0.5454402334835273,0.3367937492000956
1.5,11.58906377494012,7.713689756563519,1.5024021111400125,0.009167549782200581,,0.4884625,,1.0,0.7287875,-2.0,-1.2731829573934836,2.5,1.2112204069069918,1.0,True,True,0.5454402334835273,0.24254301201287232
2.0,15.452085033253494,7.713689756563519,2.00320281485335,0.010806391615928237,,0.48848125,,1.0,0.6973625,-2.0,-1.2330827067669172,2.5,1.1708689015772515,1.0,True,True,0.5454402334835273,0.19875383951946454
3.0,23.17812754988024,7.713689756563519,3.004804222280025,0.012216967573378134,,0.4884625,,1.0,0.6759625,-2.0,-1.2080200501253133,2.5,1.1472823663167944,1.0,True,True,0.5454402334835273,0.16834598005393386
