method,objective,models_embedded,solve_time,iterations,feasibility_rate,constraint_violation_rates,worst_violation,true_constraint_value,noise_std,draw
nominal,-1.3565386036036409,1,0.6699955463409424,,0.0,[1.0],0.17460366182035436,1.1746036618203544,0.0,0
robust_reg,-1.3064301555901512,1,1.5873761177062988,,0.0,[1.0],0.06677294015004498,1.066772940150045,0.0,0
wrapper,-1.2955121092065287,20,55.275455713272095,,0.0,[1.0],0.051333297660685506,1.0513332976606855,0.0,0
cp,-1.2729275097993922,5,21.437208890914917,5.0,0.0,[1.0],0.018696569514898842,1.0186965695148988,0.0,0
nominal,-1.3749801991736565,1,0.4568343162536621,,0.0,[1.0],0.19158381206101005,1.19158381206101,0.0,1
robust_reg,-1.3152062254568158,1,1.4926609992980957,,0.0,[1.0],0.256958077295141,1.256958077295141,0.0,1
wrapper,-1.3173018727358565,20,26.23914337158203,,0.0,[1.0],0.08660020056976658,1.0866002005697666,0.0,1
cp,-1.280816417407946,7,40.472561836242676,7.0,0.0,[1.0],0.02583142847098374,1.0258314284709837,0.0,1
nominal,-1.328666815862533,1,0.8830568790435791,,0.0,[1.0],0.10810846076946912,1.1081084607694691,0.0,2
robust_reg,-1.3184210371976062,1,1.7065937519073486,,0.0,[1.0],0.10031401127906547,1.1003140112790655,0.0,2
wrapper,-1.279296524432922,20,65.62409114837646,,0.0,[1.0],0.035003843947104096,1.035003843947104,0.0,2
cp,-1.2527894411395828,6,43.53257513046265,6.0,1.0,[0.0],0.0,0.996900672380158,0.0,2
nominal,-1.299362150747656,1,3.9455690383911133,,0.0,[1.0],0.1058817950588764,1.1058817950588764,0.0,3
robust_reg,-1.375135133379205,1,1.0016498565673828,,0.0,[1.0],0.18810309580399465,1.1881030958039946,0.0,3
wrapper,-1.230244095792791,20,220.37269043922424,,1.0,[0.0],0.0,0.9796730349986696,0.0,3
cp,-1.219808880682059,11,162.56783270835876,11.0,1.0,[0.0],0.0,0.9600341922235154,0.0,3
nominal,-1.3784176990115098,1,0.4675118923187256,,0.0,[1.0],0.1953562325008502,1.1953562325008502,0.0,4
robust_reg,-1.340770690215046,1,1.1203601360321045,,0.0,[1.0],0.15619755856482742,1.1561975585648274,0.0,4
wrapper,-1.3152107523332774,20,54.668670654296875,,0.0,[1.0],0.10132167120324143,1.1013216712032414,0.0,4
cp,-1.2721255638661946,8,52.14299702644348,8.0,0.0,[1.0],0.03503293390903672,1.0350329339090367,0.0,4
nominal,-1.3028316147231593,1,2.0912082195281982,,0.0,[1.0],0.191474590446701,1.191474590446701,0.0,5
robust_reg,-1.3662240701458792,1,1.0642855167388916,,0.0,[1.0],0.17106620769640668,1.1710662076964067,0.0,5
wrapper,-1.269632608974753,20,68.36150884628296,,0.0,[1.0],0.021996999670217843,1.0219969996702178,0.0,5
cp,-1.2616813019740012,5,35.65136098861694,5.0,0.0,[1.0],0.00950156363786836,1.0095015636378684,0.0,5
nominal,-1.3260936143498583,1,1.4495956897735596,,0.0,[1.0],0.10051393321707591,1.100513933217076,0.0,6
robust_reg,-1.349513485101129,1,0.7687053680419922,,0.0,[1.0],0.1387965563074418,1.1387965563074418,0.0,6
wrapper,-1.2571476198955938,20,103.61317586898804,,0.0,[1.0],0.023874287040093645,1.0238742870400936,0.0,6
cp,-1.2459394049556265,6,42.26820635795593,6.0,0.0,[1.0],0.003778343845072696,1.0037783438450727,0.0,6
nominal,-1.3029582349038042,1,1.434525728225708,,0.0,[1.0],0.07910409117413097,1.079104091174131,0.0,7
robust_reg,-1.3525824556763333,1,1.3407647609710693,,0.0,[1.0],0.17233228563967562,1.1723322856396756,0.0,7
wrapper,-1.2718959225651014,20,56.76775884628296,,0.0,[1.0],0.023645375821103043,1.023645375821103,0.0,7
cp,-1.2503602414108657,7,46.28894639015198,7.0,1.0,[0.0],0.0,0.9976331301756014,0.0,7
nominal,-1.332037025654898,1,1.271332025527954,,0.0,[1.0],0.24646843041954414,1.2464684304195441,0.0,8
robust_reg,-1.3889759493086369,1,2.0059447288513184,,0.0,[1.0],0.34579026379487376,1.3457902637948738,0.0,8
wrapper,-1.2713262407673858,20,65.38571763038635,,0.0,[1.0],0.10145084709935404,1.101450847099354,0.0,8
cp,-1.2572766652252003,12,122.07029247283936,12.0,0.0,[1.0],0.07412247003127925,1.0741224700312793,0.0,8
nominal,-1.3549279537127465,1,0.6387581825256348,,0.0,[1.0],0.14829626162652332,1.1482962616265233,0.0,9
robust_reg,-1.3398796817789118,1,0.8209919929504395,,0.0,[1.0],0.18471619980590792,1.184716199805908,0.0,9
wrapper,-1.3090383388729132,20,46.79209637641907,,0.0,[1.0],0.0929202175536954,1.0929202175536954,0.0,9
cp,-1.2741038161566154,9,74.76087403297424,9.0,0.0,[1.0],0.030641015827636453,1.0306410158276365,0.0,9
nominal,-1.319551524602421,1,0.6613497734069824,,0.0,[1.0],0.11198619343235028,1.1119861934323503,0.05,0
robust_reg,-1.346164274283009,1,1.5675411224365234,,0.0,[1.0],0.1634310280355924,1.1634310280355924,0.05,0
wrapper,-1.2731949460558307,20,86.56270051002502,,0.0,[1.0],0.019147506391759217,1.0191475063917592,0.05,0
cp,-1.251261807114989,6,31.751559734344482,6.0,1.0,[0.0],0.0,0.9826016183761637,0.05,0
nominal,-1.3862624526148806,1,0.5414102077484131,,0.0,[1.0],0.20872991169383903,1.208729911693839,0.05,1
robust_reg,-1.3414039059110698,1,1.3026208877563477,,0.0,[1.0],0.15109933221378502,1.151099332213785,0.05,1
wrapper,-1.2991769499474177,20,82.13702368736267,,0.0,[1.0],0.058385674530421205,1.0583856745304212,0.05,1
cp,-1.278620769200111,5,21.92972207069397,5.0,0.0,[1.0],0.022259371300018538,1.0222593713000185,0.05,1
nominal,-1.3401007059287418,1,0.7372157573699951,,0.0,[1.0],0.12682327151654738,1.1268232715165474,0.05,2
robust_reg,-1.3378288510562852,1,0.9619741439819336,,0.0,[1.0],0.15546618170677462,1.1554661817067746,0.05,2
wrapper,-1.2532894884442831,20,89.22710847854614,,1.0,[0.0],0.0,0.9975997496394162,0.05,2
cp,,21,335.9488151073456,20.0,0.0,[nan],,,0.05,2
nominal,-1.301473398173329,1,2.0680415630340576,,0.0,[1.0],0.11030651317756557,1.1103065131775656,0.05,3
robust_reg,-1.3190105904758278,1,0.9413971900939941,,0.0,[1.0],0.10062054993074554,1.1006205499307455,0.05,3
wrapper,-1.2375757993388907,20,88.21522951126099,,1.0,[0.0],0.0,0.9997057864421396,0.05,3
cp,,21,172.03030276298523,20.0,0.0,[nan],,,0.05,3
